N,trial,reproj_error,pose_diversity
3,0,0.4420294954248887,0.23989798498126572
3,1,0.3122493115627754,0.21774945775358748
3,2,0.24004204258590914,0.41600763580130146
3,3,0.22373976194015333,0.06467361804491342
3,4,0.3315467177258417,0.15878614218094098
5,0,0.28265927833979126,0.1681745003644743
5,1,0.21156308848959307,0.2524230553453755
5,2,0.28712051300603986,0.16306594918941544
5,3,0.3729509025805181,0.22415953206721256
5,4,0.5695271400568147,0.3434996025552644
8,0,0.617882607657777,0.25050415659146263
8,1,0.31698297030497047,0.3444394131440395
8,2,0.5312474025553674,0.25410757259030775
8,3,0.3693048176185806,0.25617048731743686
8,4,0.49831964278061697,0.20495249049587763
10,0,0.5386697808616652,0.2991780729186899
10,1,0.37182218291366964,0.2762370544681056
10,2,0.4749786414108608,0.3244393089292882
10,3,0.44329273706807504,0.29258784755774736
10,4,0.4336168432226655,0.3785296781853018
15,0,0.5379324288693094,0.25392580793978914
15,1,0.3939443308050761,0.275548859021243
15,2,0.49146423660394956,0.29586197942787934
15,3,0.5039780909939067,0.2902173587821569
15,4,0.42886650798883685,0.3212502578421318
20,0,0.4873841141075716,0.29439242607932564
20,1,0.4873841136254689,0.29439242596546233
20,2,0.48738411410757154,0.29439242607932437
20,3,0.48738411362546896,0.29439242596367393
20,4,0.48738411362546896,0.294392425972945
