track_id,image,x,y
0,00,1820.40,1602.00
0,01,1228.32,1294.56
0,02,758.40,1251.60
0,12,671.04,374.40
1,00,2488.32,2764.80
1,01,1819.20,2415.60
1,02,1355.00,2392.00
1,12,1188.00,1753.00
2,00,2408.00,3343.00
2,01,1748.00,2938.00
3,00,1886.00,1543.00
3,01,1294.00,1236.00
3,02,828.00,1196.00
4,00,2318.29,1818.55
4,01,1705.54,1532.74
4,02,1250.38,1519.95
4,10,2465.93,704.19
4,12,1181.95,786.31
5,00,2589.60,2756.40
5,01,1905.60,2407.20
5,02,1438.80,2382.00
5,12,1276.80,1754.40
6,00,2135.00,1261.00
6,01,1539.00,955.00
6,02,1084.00,932.00
7,00,2407.10,3341.95
7,01,1746.00,2937.60
7,10,2331.07,2261.95
7,11,1821.60,2283.60
8,00,1220.00,3342.00
8,01,613.00,3024.00
9,00,1785.00,1818.00
9,01,1193.76,1517.76
9,02,718.56,1477.44
9,11,1292.54,791.42
9,12,599.62,635.90
10,00,1743.60,1759.20
10,01,1154.00,1456.00
11,00,1524.00,1859.00
11,01,924.00,1553.00
11,02,408.00,1503.00
12,00,2424.00,3382.00
12,01,1838.88,3163.68
12,11,1896.00,2480.40
13,00,2926.08,2983.68
13,01,2187.00,2597.00
13,02,1696.80,2558.40
13,12,1509.12,1967.04
14,00,1912.00,1537.00
14,01,1319.00,1231.00
15,00,1795.39,1816.13
15,01,1203.95,1519.27
15,02,730.97,1479.85
15,10,1870.39,678.07
16,00,2805.12,950.40
16,01,2172.96,679.68
16,02,1707.84,715.68
17,00,2381.00,3670.00
17,01,1718.00,3228.00
18,00,2697.60,2731.20
18,01,1998.72,2380.32
18,02,1527.84,2355.84
18,10,2720.40,1750.80
18,12,1370.88,1740.96
19,00,2430.72,3379.68
19,01,1767.60,2970.00
19,02,1291.00,2933.00
19,11,1839.00,2312.00
20,00,2953.15,1204.42
20,01,2295.36,946.08
20,02,1817.28,986.40
20,11,2576.45,146.88
21,00,2624.83,2728.51
21,01,1938.00,2380.00
21,10,2647.30,1743.55
22,00,2597.00,2729.00
22,01,2605.82,3395.52
22,02,1522.80,3487.20
23,00,1274.00,3405.00
23,01,669.60,3078.72
23,02,144.00,3096.00
24,00,2475.36,1808.64
24,01,1848.00,1524.00
24,02,1390.80,1520.40
24,12,1336.32,812.16
25,00,2672.00,1270.00
25,01,2040.00,994.00
26,00,2012.40,1270.80
26,01,1417.20,956.40
26,02,960.00,922.80
27,00,2338.56,3345.12
27,01,1684.80,2944.80
27,02,1211.04,2911.68
27,12,977.76,2237.76
28,00,2405.38,3402.78
28,01,1744.00,2993.00
28,02,1267.00,2957.00
28,10,2324.16,2310.34
28,12,1029.00,2287.00
29,00,2021.76,1618.56
29,01,1427.04,1321.92
30,00,1759.10,1828.22
30,01,1167.00,1528.00
30,10,1826.84,692.58
31,00,2268.00,3314.88
31,01,1630.00,2922.00
32,00,1753.00,1830.00
32,01,1162.00,1529.00
32,10,1822.80,694.80
33,00,2426.40,3677.76
33,01,1718.40,3234.00
34,00,1701.60,1804.80
34,01,1108.80,1501.20
35,00,2290.80,1831.20
35,01,1680.00,1543.00
36,00,2012.00,1274.00
36,01,1416.00,960.00
36,02,960.00,927.60
37,00,2274.00,3607.00
37,01,1625.00,3182.00
38,00,1064.16,3411.36
38,01,459.36,3098.88
38,10,1114.80,2284.80
38,11,616.32,2393.28
39,00,1706.00,1800.00
39,01,1113.00,1497.00
40,00,1261.20,3308.40
40,01,656.40,2988.00
41,00,2577.90,3618.02
41,01,1756.80,3003.84
41,02,1405.90,3120.77
41,10,2453.07,2484.17
41,11,1827.60,2341.20
41,12,1040.40,2298.00
42,00,2257.92,3304.80
42,01,1621.00,2913.00
42,10,2192.40,2220.00
43,00,1586.00,960.00
43,01,884.00,593.00
44,00,1271.00,3689.00
44,01,671.00,3341.00
45,00,1265.00,3689.00
45,01,665.00,3341.00
46,00,1709.00,1799.00
46,01,1112.28,1497.97
46,02,634.52,1453.59
46,10,1772.40,654.00
46,12,507.62,592.22
47,00,1284.00,3346.00
47,01,678.00,3022.00
48,00,1087.20,3663.60
48,01,490.00,3333.00
48,10,1142.00,2490.00
49,00,2718.00,738.00
49,01,2107.00,453.00
49,02,1648.00,487.00
50,00,1261.28,3303.69
50,01,652.14,2984.79
50,02,128.99,2999.12
51,00,1217.20,3301.17
51,01,609.60,2986.80
51,02,79.20,3003.84
52,00,1780.80,1834.80
52,01,1190.40,1534.80
53,00,1098.00,3416.00
53,01,494.00,3100.00
54,00,2182.00,1413.00
54,01,1583.00,1115.00
55,00,2137.00,1640.00
55,01,1539.00,1348.00
55,02,1083.00,1326.00
56,00,1054.00,3660.00
56,01,454.00,3332.00
56,10,1112.00,2487.00
57,00,1053.60,3952.80
57,01,463.00,3602.00
57,10,1119.00,2713.00
58,00,2980.80,2784.00
58,01,2237.41,2419.89
58,02,1745.97,2388.79
58,12,1586.30,1806.11
59,00,2678.40,1641.60
59,01,2032.13,1363.39
59,02,1569.02,1373.76
59,10,2915.14,502.85
59,12,1555.20,675.65
60,00,1862.00,1643.00
60,01,1269.00,1339.00
61,00,1826.00,1548.00
61,01,1233.00,1238.00
62,00,1848.96,1643.33
62,01,1150.85,1432.86
62,11,1246.65,691.75
63,00,1852.80,1644.00
63,01,1261.20,1339.20
63,02,792.00,1299.60
63,10,1955.52,453.60
64,00,2448.51,3601.10
64,01,1779.15,3165.14
64,02,1296.00,3122.50
64,10,2336.53,2468.41
64,11,1839.28,2480.03
64,12,1038.53,2441.66
65,00,2271.74,3601.10
65,01,1621.39,3177.09
65,02,1142.55,3143.58
65,11,1697.03,2485.83
66,00,1897.34,1787.44
66,01,1308.00,1491.60
66,10,1993.14,646.96
67,00,1822.69,1650.59
67,01,1229.65,1345.77
67,02,758.94,1306.37
67,11,1336.23,589.73
67,12,665.87,441.93
68,00,1833.12,1653.12
68,01,1240.80,1348.80
68,10,1928.45,466.56
69,00,2002.75,1653.70
69,01,1407.00,1357.00
69,10,2127.51,474.85
70,00,1870.00,1786.00
70,01,1279.00,1487.00
70,02,811.00,1453.00
71,00,1195.20,1287.36
71,01,551.23,921.02
71,11,1846.33,3254.72
72,00,2013.00,1657.00
72,01,1419.00,1360.00
72,02,959.00,1332.00
72,12,886.80,510.00
73,00,1322.40,3290.40
73,01,717.60,2967.60
73,02,198.72,2979.36
74,00,2476.80,1782.72
74,01,1849.20,1500.00
74,02,1392.48,1496.16
74,10,2650.75,667.01
74,11,2017.44,796.32
74,12,1342.66,784.51
75,00,1818.55,1658.88
75,01,1226.88,1354.75
75,10,1911.03,471.79
76,00,1869.12,1784.16
76,01,1277.28,1484.64
76,02,809.28,1450.08
76,11,1385.86,755.14
76,12,705.02,620.35
77,00,2480.00,1782.00
77,01,1852.00,1499.00
77,02,1395.00,1495.00
77,12,1345.20,783.60
78,00,1188.00,3287.52
78,01,579.60,2974.80
78,02,46.08,2992.32
79,00,1264.80,3090.00
79,01,656.92,2781.94
79,02,131.88,2789.41
79,10,1293.60,2040.00
80,00,2473.20,1844.40
80,01,1844.40,1560.00
80,02,1387.20,1555.20
80,10,2635.20,744.00
80,12,1327.20,850.80
81,00,1244.00,3842.00
81,01,647.00,3482.00
82,00,1243.00,3092.00
82,01,636.00,2786.00
82,02,108.00,2794.00
82,11,775.00,2129.00
83,00,1261.00,3092.00
83,01,653.00,2785.00
84,00,1825.00,1550.00
84,01,1231.00,1240.00
85,00,2523.00,3347.00
85,01,1850.00,2934.00
86,00,1226.88,992.16
86,01,581.76,599.04
86,02,60.48,476.64
87,00,2151.60,1779.60
87,01,1552.32,1487.52
87,02,1096.93,1466.04
87,10,2285.28,646.56
87,11,1690.56,767.52
87,12,1020.21,694.24
88,00,2662.50,1250.38
88,01,2034.20,972.52
88,11,2270.59,174.18
89,00,1292.54,3094.85
89,01,689.26,2784.43
